LIQUOR LAW VIOLATION,2010,737
STALKING,2011,181
KIDNAPPING,2010,314
WEAPONS VIOLATION,2011,3880
STALKING,2010,189
PUBLIC PEACE VIOLATION,2010,3538
OTHER NARCOTIC VIOLATION,2010,6
WEAPONS VIOLATION,2010,3704
INTERFERENCE WITH PUBLIC OFFICER,2010,797
INTERFERENCE WITH PUBLIC OFFICER,2011,1047
PUBLIC INDECENCY,2010,7
ARSON,2011,504
GAMBLING,2011,736
PROSTITUTION,2010,2484
OBSCENITY,2010,34
GAMBLING,2010,927
CRIMINAL TRESPASS,2010,9401
PROSTITUTION,2011,2424
INTIMIDATION,2010,198
CRIM SEXUAL ASSAULT,2010,1333
PUBLIC PEACE VIOLATION,2011,3095
LIQUOR LAW VIOLATION,2011,619
KIDNAPPING,2011,266
OBSCENITY,2011,40
CRIMINAL TRESPASS,2013,8136
GAMBLING,2012,724
INTIMIDATION,2012,156
LIQUOR LAW VIOLATION,2012,573
MOTOR VEHICLE THEFT,2013,12582
KIDNAPPING,2012,235
CRIMINAL TRESPASS,2012,8216
LIQUOR LAW VIOLATION,2013,465
PROSTITUTION,2013,1652
OTHER NARCOTIC VIOLATION,2011,5
OBSCENITY,2012,26
NON-CRIMINAL,2012,6
GAMBLING,2013,596
STALKING,2013,154
INTIMIDATION,2013,135
PROSTITUTION,2012,2204
PUBLIC PEACE VIOLATION,2013,3135
PUBLIC INDECENCY,2011,13
WEAPONS VIOLATION,2013,3245
INTERFERENCE WITH PUBLIC OFFICER,2013,1281
PUBLIC INDECENCY,2012,17
OBSCENITY,2013,25
NON-CRIMINAL (SUBJECT SPECIFIED),2012,2
PUBLIC PEACE VIOLATION,2012,3007
WEAPONS VIOLATION,2012,3907
OTHER NARCOTIC VIOLATION,2012,6
INTERFERENCE WITH PUBLIC OFFICER,2012,1228
STALKING,2012,207
KIDNAPPING,2013,242
OBSCENITY,2014,39
LIQUOR LAW VIOLATION,2014,397
WEAPONS VIOLATION,2014,3113
WEAPONS VIOLATION,2015,3364
PUBLIC INDECENCY,2014,10
LIQUOR LAW VIOLATION,2015,292
NON - CRIMINAL,2014,10
ARSON,2014,397
MOTOR VEHICLE THEFT,2015,10068
PUBLIC PEACE VIOLATION,2015,2422
NON-CRIMINAL,2014,16
PROSTITUTION,2015,1322
NON - CRIMINAL,2013,3
NON-CRIMINAL (SUBJECT SPECIFIED),2014,1
INTIMIDATION,2014,115
OTHER NARCOTIC VIOLATION,2014,10
NON-CRIMINAL,2010,1
NON-CRIMINAL,2013,4
PUBLIC PEACE VIOLATION,2014,2903
OTHER NARCOTIC VIOLATION,2013,5
KIDNAPPING,2014,220
CONCEALED CARRY LICENSE VIOLATION,2014,15
INTERFERENCE WITH PUBLIC OFFICER,2015,1308
INTERFERENCE WITH PUBLIC OFFICER,2014,1399
PUBLIC INDECENCY,2013,10
GAMBLING,2014,393
WEAPONS VIOLATION,2017,4686
NON-CRIMINAL,2003,1
NON - CRIMINAL,2016,5
PROSTITUTION,2016,800
HUMAN TRAFFICKING,2016,11
NON-CRIMINAL,2009,1
OBSCENITY,2016,51
INTERFERENCE WITH PUBLIC OFFICER,2016,936
GAMBLING,2016,189
LIQUOR LAW VIOLATION,2017,191
CONCEALED CARRY LICENSE VIOLATION,2017,69
PUBLIC INDECENCY,2017,10
HUMAN TRAFFICKING,2014,2
PROSTITUTION,2017,735
NON-CRIMINAL,2016,49
HUMAN TRAFFICKING,2015,13
MOTOR VEHICLE THEFT,2016,11286
PUBLIC PEACE VIOLATION,2016,1607
KIDNAPPING,2015,190
OTHER NARCOTIC VIOLATION,2015,5
PUBLIC PEACE VIOLATION,2017,1498
INTIMIDATION,2017,150
CRIMINAL TRESPASS,2016,6306
LIQUOR LAW VIOLATION,2016,227
INTIMIDATION,2015,123
NON - CRIMINAL,2015,20
CONCEALED CARRY LICENSE VIOLATION,2015,34
NON-CRIMINAL,2015,16
PUBLIC INDECENCY,2015,14
CONCEALED CARRY LICENSE VIOLATION,2016,36
STALKING,2016,176
GAMBLING,2015,310
NON-CRIMINAL (SUBJECT SPECIFIED),2016,1
WEAPONS VIOLATION,2016,3450
OTHER NARCOTIC VIOLATION,2016,4
PUBLIC INDECENCY,2016,10
KIDNAPPING,2017,190
OBSCENITY,2017,87
INTERFERENCE WITH PUBLIC OFFICER,2017,1087
OBSCENITY,2015,49
NON-CRIMINAL,2017,37
STALKING,2019,227
INTERFERENCE WITH PUBLIC OFFICER,2019,1546
NON-CRIMINAL,2018,36
GAMBLING,2019,142
CONCEALED CARRY LICENSE VIOLATION,2019,217
ARSON,2019,376
NON-CRIMINAL,2019,4
INTIMIDATION,2018,168
OTHER NARCOTIC VIOLATION,2017,11
HUMAN TRAFFICKING,2019,15
WEAPONS VIOLATION,2018,5456
INTIMIDATION,2019,163
OTHER NARCOTIC VIOLATION,2018,1
HUMAN TRAFFICKING,2018,12
KIDNAPPING,2019,173
OBSCENITY,2018,87
PUBLIC INDECENCY,2018,14
CRIMINAL TRESPASS,2019,6819
LIQUOR LAW VIOLATION,2019,232
INTERFERENCE WITH PUBLIC OFFICER,2018,1307
NON-CRIMINAL (SUBJECT SPECIFIED),2017,2
KIDNAPPING,2018,172
LIQUOR LAW VIOLATION,2018,268
PUBLIC PEACE VIOLATION,2019,1520
ARSON,2018,373
OBSCENITY,2019,59
GAMBLING,2018,201
HUMAN TRAFFICKING,2017,9
GAMBLING,2017,191
CONCEALED CARRY LICENSE VIOLATION,2018,149
NON-CRIMINAL (SUBJECT SPECIFIED),2018,3
PROSTITUTION,2019,681
PROSTITUTION,2018,718
CRIM SEXUAL ASSAULT,2019,908
HUMAN TRAFFICKING,2021,9
INTERFERENCE WITH PUBLIC OFFICER,2021,314
ARSON,2020,588
GAMBLING,2020,25
INTERFERENCE WITH PUBLIC OFFICER,2020,654
NON-CRIMINAL,2020,1
INTIMIDATION,2021,123
NON-CRIMINAL,2021,4
OTHER NARCOTIC VIOLATION,2020,6
OTHER NARCOTIC VIOLATION,2019,8
HUMAN TRAFFICKING,2010,1
CONCEALED CARRY LICENSE VIOLATION,2001,1
CONCEALED CARRY LICENSE VIOLATION,2020,148
RITUALISM,2020,1
PUBLIC INDECENCY,2021,4
ARSON,2021,529
PUBLIC INDECENCY,2020,9
CRIM SEXUAL ASSAULT,2020,75
PUBLIC INDECENCY,2019,11
PROSTITUTION,2020,277
WEAPONS VIOLATION,2021,8980
LIQUOR LAW VIOLATION,2020,143
CONCEALED CARRY LICENSE VIOLATION,2021,173
LIQUOR LAW VIOLATION,2021,184
HUMAN TRAFFICKING,2020,5
GAMBLING,2021,13
PROSTITUTION,2021,95
OTHER NARCOTIC VIOLATION,2021,2
NON-CRIMINAL,2023,2
OTHER NARCOTIC VIOLATION,2022,7
PUBLIC INDECENCY,2023,3
LIQUOR LAW VIOLATION,2022,203
CONCEALED CARRY LICENSE VIOLATION,2022,177
PROSTITUTION,2022,283
PUBLIC INDECENCY,2022,5
OTHER NARCOTIC VIOLATION,2023,2
GAMBLING,2022,9
INTERFERENCE WITH PUBLIC OFFICER,2022,393
NON-CRIMINAL,2022,5
BATTERY,2005,83964
BATTERY,2002,94153
KIDNAPPING,2020,120
KIDNAPPING,2022,117
